X,Y,Secondary
51.5,1.5,0.42475
52.5,1.5,0.19945
53.5,1.5,0.34126999999999996
54.5,1.5,0.38356
55.5,1.5,0.43781000000000003
56.5,1.5,0.7549600000000001
57.5,1.5,0.74154
58.5,1.5,0.71448
59.5,1.5,0.7974399999999999
60.5,1.5,1.1128799999999999
61.5,1.5,1.37731
62.5,1.5,1.6796799999999998
63.5,1.5,1.57018
64.5,1.5,1.82405
65.5,1.5,1.74653
66.5,1.5,1.82095
67.5,1.5,1.60079
68.5,1.5,1.5492299999999999
69.5,1.5,1.5005899999999999
70.5,1.5,1.34365
71.5,1.5,1.59917
72.5,1.5,1.77024
73.5,1.5,1.6661400000000002
74.5,1.5,1.46296
75.5,1.5,1.4952
76.5,1.5,1.7300200000000001
77.5,1.5,1.1732
78.5,1.5,1.1057299999999999
79.5,1.5,1.05177
80.5,1.5,1.25061
81.5,1.5,1.40062
82.5,1.5,1.0601
83.5,1.5,1.39798
84.5,1.5,1.37609
85.5,1.5,1.4344
86.5,1.5,1.80377
87.5,1.5,1.86027
88.5,1.5,1.90934
89.5,1.5,1.94585
90.5,1.5,2.16151
91.5,1.5,2.29906
92.5,1.5,2.21738
93.5,1.5,2.06387
94.5,1.5,1.9381099999999998
95.5,1.5,1.7973599999999998
96.5,1.5,1.9567299999999999
97.5,1.5,1.5874
98.5,1.5,1.48337
99.5,1.5,1.18729
0.5,2.5,1.50824
1.5,2.5,1.2541200000000001
2.5,2.5,0.72846
3.5,2.5,0.61029
4.5,2.5,0.8413
5.5,2.5,0.99329
6.5,2.5,1.05564
7.5,2.5,1.1528200000000002
8.5,2.5,1.09854
9.5,2.5,0.95831
10.5,2.5,1.40618
11.5,2.5,1.2660200000000001
12.5,2.5,0.90196
13.5,2.5,0.7982899999999999
14.5,2.5,0.81676
15.5,2.5,0.54352
16.5,2.5,0.17593
17.5,2.5,0.04935
18.5,2.5,-0.1478
19.5,2.5,-0.43756000000000006
20.5,2.5,-0.17294
21.5,2.5,-0.28409
22.5,2.5,-0.5131100000000001
23.5,2.5,-0.05385
24.5,2.5,0.09546
25.5,2.5,-0.16881
26.5,2.5,-0.06197999999999999
27.5,2.5,0.06373
28.5,2.5,-0.07443999999999999
29.5,2.5,-0.18544000000000002
30.5,2.5,0.03387
31.5,2.5,-0.04822
32.5,2.5,-0.05604
33.5,2.5,0.18983
34.5,2.5,0.02508
35.5,2.5,0.01188
36.5,2.5,-0.00997
37.5,2.5,0.21908000000000002
38.5,2.5,0.06047
39.5,2.5,0.32266999999999996
40.5,2.5,0.13645
41.5,2.5,-0.22209
42.5,2.5,-0.39747
43.5,2.5,-0.20942
44.5,2.5,-0.21864
45.5,2.5,-0.29235
46.5,2.5,-0.21991
47.5,2.5,0.11573
48.5,2.5,0.11258
49.5,2.5,-0.35267
50.5,2.5,0.0679
51.5,2.5,0.25461999999999996
52.5,2.5,0.68184
53.5,2.5,0.39608000000000004
54.5,2.5,0.65022
55.5,2.5,0.42658
56.5,2.5,0.49625
57.5,2.5,0.7511800000000001
58.5,2.5,0.5804
59.5,2.5,0.93147
60.5,2.5,1.06128
61.5,2.5,1.1526299999999998
62.5,2.5,1.18994
63.5,2.5,1.29785
64.5,2.5,1.30677
65.5,2.5,1.345
66.5,2.5,1.58536
67.5,2.5,1.5964200000000002
68.5,2.5,1.44194
69.5,2.5,1.57671
70.5,2.5,1.32939
71.5,2.5,1.28302
72.5,2.5,1.50816
73.5,2.5,1.64757
74.5,2.5,1.38988
75.5,2.5,1.40344
76.5,2.5,1.35857
77.5,2.5,1.32886
78.5,2.5,1.44888
79.5,2.5,1.57
80.5,2.5,1.72035
81.5,2.5,1.6409900000000002
82.5,2.5,1.42665
83.5,2.5,1.6664400000000001
84.5,2.5,1.5298100000000001
85.5,2.5,1.7551400000000001
86.5,2.5,2.0969700000000002
87.5,2.5,1.79584
88.5,2.5,1.77067
89.5,2.5,1.66405
90.5,2.5,1.6485
91.5,2.5,1.58464
92.5,2.5,1.62986
93.5,2.5,1.60374
94.5,2.5,1.6935799999999999
95.5,2.5,1.8695599999999999
96.5,2.5,1.56295
97.5,2.5,1.58975
98.5,2.5,1.8719299999999999
99.5,2.5,1.61617
0.5,3.5,1.76458
1.5,3.5,1.8690200000000001
2.5,3.5,1.68251
3.5,3.5,1.3803
4.5,3.5,1.34365
5.5,3.5,1.12584
6.5,3.5,1.24
7.5,3.5,1.3048799999999998
8.5,3.5,1.17369
9.5,3.5,0.85831
10.5,3.5,0.82395
11.5,3.5,0.8573799999999999
12.5,3.5,0.62708
13.5,3.5,0.48683000000000004
14.5,3.5,0.32869
15.5,3.5,0.1527
16.5,3.5,0.17418
17.5,3.5,-0.04243
18.5,3.5,-0.07142000000000001
19.5,3.5,-0.13492
20.5,3.5,-0.43377
21.5,3.5,-0.16244
22.5,3.5,-0.32051
23.5,3.5,-0.09672
24.5,3.5,0.12228
25.5,3.5,0.28472
26.5,3.5,0.0817
27.5,3.5,0.09664
28.5,3.5,-0.19559
29.5,3.5,-0.0886
30.5,3.5,-0.13783
31.5,3.5,-0.12304000000000001
32.5,3.5,0.01602
33.5,3.5,0.06444
34.5,3.5,0.31828
35.5,3.5,0.2447
36.5,3.5,0.18859
37.5,3.5,0.2167
38.5,3.5,0.36396
39.5,3.5,0.7256199999999999
40.5,3.5,0.45388
41.5,3.5,0.2814
42.5,3.5,0.11997999999999999
43.5,3.5,-0.031439999999999996
44.5,3.5,-0.12172000000000001
45.5,3.5,-0.01544
46.5,3.5,0.2692
47.5,3.5,0.0537
48.5,3.5,0.0219
49.5,3.5,-0.09852999999999999
50.5,3.5,0.31356
51.5,3.5,0.47002
52.5,3.5,0.35779
53.5,3.5,0.17337
54.5,3.5,0.38693
55.5,3.5,0.392
56.5,3.5,0.66276
57.5,3.5,0.54106
58.5,3.5,0.66055
59.5,3.5,0.41022
60.5,3.5,0.3648
61.5,3.5,0.8526299999999999
62.5,3.5,0.8245600000000001
63.5,3.5,1.27128
64.5,3.5,1.3309
65.5,3.5,1.39567
66.5,3.5,1.85789
67.5,3.5,1.69652
68.5,3.5,1.64865
69.5,3.5,1.2556399999999999
70.5,3.5,1.37545
71.5,3.5,1.57589
72.5,3.5,1.6881099999999998
73.5,3.5,1.65815
74.5,3.5,1.4146100000000001
75.5,3.5,1.3726399999999999
76.5,3.5,1.54482
77.5,3.5,1.46005
78.5,3.5,1.50852
79.5,3.5,1.39056
80.5,3.5,1.64935
81.5,3.5,1.89392
82.5,3.5,1.7157799999999999
83.5,3.5,1.8158299999999998
84.5,3.5,1.85779
85.5,3.5,2.09463
86.5,3.5,2.2970099999999998
87.5,3.5,2.0148
88.5,3.5,1.8671
89.5,3.5,1.9307900000000002
90.5,3.5,1.6746
91.5,3.5,1.32501
92.5,3.5,1.5238
93.5,3.5,1.63141
94.5,3.5,1.59786
95.5,3.5,1.70222
96.5,3.5,1.7557599999999998
97.5,3.5,1.65343
98.5,3.5,1.80276
99.5,3.5,1.43675
0.5,4.5,1.95102
1.5,4.5,1.94573
2.5,4.5,1.51134
3.5,4.5,1.23127
4.5,4.5,1.22244
5.5,4.5,1.47495
6.5,4.5,1.42598
7.5,4.5,1.3458
8.5,4.5,0.98821
9.5,4.5,1.0271700000000001
10.5,4.5,0.66922
11.5,4.5,0.60802
12.5,4.5,0.38853000000000004
13.5,4.5,0.37764000000000003
14.5,4.5,0.33716
15.5,4.5,0.23699
16.5,4.5,-0.39916999999999997
17.5,4.5,-0.29201
18.5,4.5,-0.01986
19.5,4.5,-0.14582
20.5,4.5,-0.45282
21.5,4.5,-0.49785
22.5,4.5,-0.63421
23.5,4.5,-0.43423
24.5,4.5,-0.20651999999999998
25.5,4.5,-0.09013
26.5,4.5,0.31459000000000004
27.5,4.5,0.42686
28.5,4.5,0.11897
29.5,4.5,0.356
30.5,4.5,0.1397
31.5,4.5,0.2172
32.5,4.5,0.25545
33.5,4.5,0.31327
34.5,4.5,0.34156
35.5,4.5,0.44616000000000006
36.5,4.5,0.29593
37.5,4.5,0.26086
38.5,4.5,0.36535
39.5,4.5,0.28463
40.5,4.5,0.59002
41.5,4.5,0.69604
42.5,4.5,0.80185
43.5,4.5,0.59235
44.5,4.5,0.42258
45.5,4.5,0.29341999999999996
46.5,4.5,-0.039869999999999996
47.5,4.5,0.07518
48.5,4.5,0.04531
49.5,4.5,-0.12127
50.5,4.5,-0.22495
51.5,4.5,0.15223
52.5,4.5,0.08755
53.5,4.5,-0.11969
54.5,4.5,0.17457999999999999
55.5,4.5,0.25437
56.5,4.5,0.22896999999999998
57.5,4.5,0.21545
58.5,4.5,0.50913
59.5,4.5,0.5857600000000001
60.5,4.5,0.18775
61.5,4.5,0.31416
62.5,4.5,0.33516
63.5,4.5,0.5896
64.5,4.5,0.45928
65.5,4.5,1.1663700000000001
66.5,4.5,1.50005
67.5,4.5,1.88988
68.5,4.5,1.4969
69.5,4.5,1.2729
70.5,4.5,1.1491799999999999
71.5,4.5,1.65409
72.5,4.5,1.7645
73.5,4.5,1.71232
74.5,4.5,1.57922
75.5,4.5,1.5388899999999999
76.5,4.5,1.55975
77.5,4.5,1.36705
78.5,4.5,1.324
79.5,4.5,1.23292
80.5,4.5,1.9847700000000001
81.5,4.5,1.8871900000000001
82.5,4.5,1.9836
83.5,4.5,2.0161599999999997
84.5,4.5,2.16058
85.5,4.5,2.22325
86.5,4.5,2.4887
87.5,4.5,2.5362400000000003
88.5,4.5,2.40991
89.5,4.5,2.2399
90.5,4.5,1.987
91.5,4.5,1.7709599999999999
92.5,4.5,1.70087
93.5,4.5,1.7968400000000002
94.5,4.5,1.6935
95.5,4.5,1.69957
96.5,4.5,1.25025
97.5,4.5,1.27613
98.5,4.5,1.2288700000000001
99.5,4.5,1.31933
0.5,5.5,1.98045
1.5,5.5,1.6306100000000001
2.5,5.5,1.71545
3.5,5.5,1.42123
4.5,5.5,1.44864
5.5,5.5,1.3521100000000001
6.5,5.5,1.23565
7.5,5.5,1.39481
8.5,5.5,1.0732700000000002
9.5,5.5,0.96225
10.5,5.5,0.89136
11.5,5.5,0.63699
12.5,5.5,0.54243
13.5,5.5,0.3076
14.5,5.5,0.24758000000000002
15.5,5.5,0.51855
16.5,5.5,0.04116
17.5,5.5,0.01494
18.5,5.5,0.0588
19.5,5.5,0.0662
20.5,5.5,-0.38473
21.5,5.5,-0.27052
22.5,5.5,0.01132
23.5,5.5,0.48855
24.5,5.5,0.49803000000000003
25.5,5.5,0.40875
26.5,5.5,0.48649
27.5,5.5,0.32377
28.5,5.5,0.46646000000000004
29.5,5.5,0.5375800000000001
30.5,5.5,0.58308
31.5,5.5,0.18447
32.5,5.5,0.5994
33.5,5.5,0.7234
34.5,5.5,0.73233
35.5,5.5,0.6815899999999999
36.5,5.5,0.26666
37.5,5.5,0.19774
38.5,5.5,0.24224
39.5,5.5,0.5211600000000001
40.5,5.5,0.8451299999999999
41.5,5.5,0.57627
42.5,5.5,0.52149
43.5,5.5,0.2446
44.5,5.5,0.15300999999999998
45.5,5.5,0.207
46.5,5.5,0.01372
47.5,5.5,-0.0275
48.5,5.5,0.10055
49.5,5.5,-0.19347999999999999
50.5,5.5,-0.29313
51.5,5.5,-0.2614
52.5,5.5,-0.35055
53.5,5.5,-0.23870999999999998
54.5,5.5,-0.11055
55.5,5.5,-0.03199
56.5,5.5,0.36078000000000005
57.5,5.5,0.50321
58.5,5.5,0.5007199999999999
59.5,5.5,0.363
60.5,5.5,0.1219
61.5,5.5,0.24268
62.5,5.5,0.37448000000000004
63.5,5.5,0.37305
64.5,5.5,0.4588
65.5,5.5,0.8023899999999999
66.5,5.5,1.14035
67.5,5.5,1.6171799999999998
68.5,5.5,2.01214
69.5,5.5,1.6616
70.5,5.5,1.3218299999999998
71.5,5.5,1.61232
72.5,5.5,1.6732200000000002
73.5,5.5,1.71137
74.5,5.5,1.69937
75.5,5.5,1.65452
76.5,5.5,1.5145
77.5,5.5,1.44907
78.5,5.5,1.52518
79.5,5.5,1.6406
80.5,5.5,1.53662
81.5,5.5,1.43097
82.5,5.5,1.7300099999999998
83.5,5.5,1.8555
84.5,5.5,2.2076700000000002
85.5,5.5,2.32375
86.5,5.5,2.39417
87.5,5.5,2.1691
88.5,5.5,2.0909
89.5,5.5,2.0699799999999997
90.5,5.5,1.9204900000000003
91.5,5.5,1.92285
92.5,5.5,1.47896
93.5,5.5,1.45992
94.5,5.5,1.5820299999999998
95.5,5.5,1.32434
96.5,5.5,1.31485
97.5,5.5,1.25334
98.5,5.5,1.12132
99.5,5.5,1.5649600000000001
0.5,6.5,1.9699200000000001
1.5,6.5,1.77355
2.5,6.5,1.6291200000000001
3.5,6.5,1.48977
4.5,6.5,1.57328
5.5,6.5,1.67545
6.5,6.5,1.6713200000000001
7.5,6.5,1.41685
8.5,6.5,1.11556
9.5,6.5,0.9422799999999999
10.5,6.5,1.1704
11.5,6.5,0.943
12.5,6.5,0.86193
13.5,6.5,0.70432
14.5,6.5,0.5788300000000001
15.5,6.5,0.53223
16.5,6.5,0.42525
17.5,6.5,0.26228
18.5,6.5,0.03829
19.5,6.5,-0.022580000000000003
20.5,6.5,-0.08816
21.5,6.5,0.05636
22.5,6.5,0.38861
23.5,6.5,0.34355
24.5,6.5,0.35236
25.5,6.5,0.6141300000000001
26.5,6.5,0.84054
27.5,6.5,0.7300399999999999
28.5,6.5,0.60021
29.5,6.5,0.6543899999999999
30.5,6.5,0.60141
31.5,6.5,0.7891100000000001
32.5,6.5,0.73895
33.5,6.5,0.62355
34.5,6.5,0.72345
35.5,6.5,0.43631000000000003
36.5,6.5,0.33154
37.5,6.5,0.31276
38.5,6.5,0.35229
39.5,6.5,0.74225
40.5,6.5,0.35895
41.5,6.5,0.43228999999999995
42.5,6.5,0.28644000000000003
43.5,6.5,0.24076999999999998
44.5,6.5,0.11116
45.5,6.5,0.09508
46.5,6.5,0.08963
47.5,6.5,0.10091
48.5,6.5,-0.09106
49.5,6.5,-0.10977
50.5,6.5,-0.33415
51.5,6.5,-0.00628
52.5,6.5,-0.14841
53.5,6.5,-0.07277
54.5,6.5,-0.00014
55.5,6.5,0.036019999999999996
56.5,6.5,0.02316
57.5,6.5,0.33464
58.5,6.5,0.19391
59.5,6.5,0.12467
60.5,6.5,-0.11377000000000001
61.5,6.5,0.04958
62.5,6.5,0.19311
63.5,6.5,0.32343
64.5,6.5,0.27135
65.5,6.5,0.39276
66.5,6.5,0.67424
67.5,6.5,1.0245
68.5,6.5,1.1702299999999999
69.5,6.5,1.29139
70.5,6.5,1.16703
71.5,6.5,1.4919200000000001
72.5,6.5,1.39099
73.5,6.5,1.41503
74.5,6.5,1.5316
75.5,6.5,1.7702799999999999
76.5,6.5,1.49342
77.5,6.5,1.59517
78.5,6.5,1.5598
79.5,6.5,1.78866
80.5,6.5,2.12377
81.5,6.5,1.88916
82.5,6.5,1.8842
83.5,6.5,1.9018099999999998
84.5,6.5,2.08316
85.5,6.5,2.22505
86.5,6.5,1.90455
87.5,6.5,1.80295
88.5,6.5,1.92185
89.5,6.5,1.96185
90.5,6.5,1.99692
91.5,6.5,2.10776
92.5,6.5,1.3926399999999999
93.5,6.5,1.22466
94.5,6.5,1.3416700000000001
95.5,6.5,1.31964
96.5,6.5,1.16696
97.5,6.5,1.28367
98.5,6.5,1.29809
99.5,6.5,1.66717
0.5,7.5,1.94517
1.5,7.5,1.58479
2.5,7.5,1.3143200000000002
3.5,7.5,1.28793
4.5,7.5,1.31708
5.5,7.5,1.46318
6.5,7.5,1.3781299999999999
7.5,7.5,1.27302
8.5,7.5,1.1415799999999998
9.5,7.5,0.8146100000000001
10.5,7.5,1.0126600000000001
11.5,7.5,0.722
12.5,7.5,0.55815
13.5,7.5,0.80855
14.5,7.5,0.77484
15.5,7.5,0.49387
16.5,7.5,0.19193
17.5,7.5,0.2417
18.5,7.5,0.28005
19.5,7.5,0.29968
20.5,7.5,0.04011
21.5,7.5,0.2864
22.5,7.5,0.36635999999999996
23.5,7.5,0.29625999999999997
24.5,7.5,0.19316
25.5,7.5,0.34693
26.5,7.5,0.82726
27.5,7.5,0.93255
28.5,7.5,0.70025
29.5,7.5,0.41056000000000004
30.5,7.5,0.55283
31.5,7.5,0.4308
32.5,7.5,0.6400899999999999
33.5,7.5,0.38351
34.5,7.5,0.47325
35.5,7.5,0.50046
36.5,7.5,0.05935
37.5,7.5,0.25836
38.5,7.5,0.23116
39.5,7.5,0.42128000000000004
40.5,7.5,0.40267
41.5,7.5,0.37745
42.5,7.5,0.32487
43.5,7.5,0.45536000000000004
44.5,7.5,0.07581
45.5,7.5,-0.16187
46.5,7.5,0.05101
47.5,7.5,0.07712000000000001
48.5,7.5,-0.03393
49.5,7.5,0.034319999999999996
50.5,7.5,0.14429
51.5,7.5,0.02077
52.5,7.5,0.1516
53.5,7.5,0.05119
54.5,7.5,0.39716
55.5,7.5,-0.10979000000000001
56.5,7.5,-0.04075
57.5,7.5,-0.1749
58.5,7.5,-0.18470999999999999
59.5,7.5,-0.11458
60.5,7.5,-0.21206999999999998
61.5,7.5,-0.14612
62.5,7.5,-0.22444
63.5,7.5,-0.11392000000000001
64.5,7.5,0.13502999999999998
65.5,7.5,0.25240999999999997
66.5,7.5,0.71095
67.5,7.5,0.7673800000000001
68.5,7.5,0.95689
69.5,7.5,1.19994
70.5,7.5,0.82342
71.5,7.5,0.9446700000000001
72.5,7.5,1.11475
73.5,7.5,1.08304
74.5,7.5,1.29464
75.5,7.5,1.35295
76.5,7.5,1.59782
77.5,7.5,1.71215
78.5,7.5,1.41747
79.5,7.5,1.8267900000000001
80.5,7.5,1.95806
81.5,7.5,2.04467
82.5,7.5,1.9558799999999998
83.5,7.5,2.2281400000000002
84.5,7.5,1.9897599999999998
85.5,7.5,2.09669
86.5,7.5,2.07653
87.5,7.5,2.01933
88.5,7.5,2.09341
89.5,7.5,2.2645299999999997
90.5,7.5,1.8958700000000002
91.5,7.5,1.65458
92.5,7.5,1.7451299999999998
93.5,7.5,1.8578700000000001
94.5,7.5,1.71655
95.5,7.5,1.7064400000000002
96.5,7.5,1.8969599999999998
97.5,7.5,1.66857
98.5,7.5,1.7345400000000002
99.5,7.5,1.62858
0.5,8.5,1.5077
1.5,8.5,1.64163
2.5,8.5,1.23199
3.5,8.5,1.37006
4.5,8.5,1.48885
5.5,8.5,1.43165
6.5,8.5,1.0172299999999999
7.5,8.5,1.00365
8.5,8.5,0.69303
9.5,8.5,1.20028
10.5,8.5,0.9855799999999999
11.5,8.5,0.65937
12.5,8.5,0.70678
13.5,8.5,0.59755
14.5,8.5,0.55889
15.5,8.5,0.5998100000000001
16.5,8.5,0.42936
17.5,8.5,0.21295
18.5,8.5,0.24475
19.5,8.5,0.53632
20.5,8.5,0.43425
21.5,8.5,0.24119000000000002
22.5,8.5,0.42733999999999994
23.5,8.5,-0.05387
24.5,8.5,0.06853
25.5,8.5,0.17631
26.5,8.5,0.44718
27.5,8.5,0.56643
28.5,8.5,0.6684399999999999
29.5,8.5,0.42923
30.5,8.5,0.65059
31.5,8.5,0.49954
32.5,8.5,0.322
33.5,8.5,0.48873
34.5,8.5,0.2836
35.5,8.5,0.11409000000000001
36.5,8.5,0.15303
37.5,8.5,-0.10363
38.5,8.5,0.02371
39.5,8.5,0.29043
40.5,8.5,0.33819
41.5,8.5,0.27513000000000004
42.5,8.5,0.22766999999999998
43.5,8.5,0.25409
44.5,8.5,0.015059999999999999
45.5,8.5,0.06783
46.5,8.5,0.13779
47.5,8.5,0.30665
48.5,8.5,0.26073
49.5,8.5,0.39901
50.5,8.5,0.26805
51.5,8.5,-0.2919
52.5,8.5,-0.44441
53.5,8.5,-0.2549
54.5,8.5,-0.32531
55.5,8.5,-0.34874
56.5,8.5,-0.47878000000000004
57.5,8.5,-0.5061
58.5,8.5,-0.37644
59.5,8.5,-0.34478000000000003
60.5,8.5,-0.22338000000000002
61.5,8.5,-0.062029999999999995
62.5,8.5,-0.02541
63.5,8.5,0.01039
64.5,8.5,-0.21420999999999998
65.5,8.5,-0.16172
66.5,8.5,0.30339
67.5,8.5,0.53764
68.5,8.5,0.94201
69.5,8.5,1.05082
70.5,8.5,0.78401
71.5,8.5,0.8879100000000001
72.5,8.5,1.02603
73.5,8.5,1.32267
74.5,8.5,1.0553299999999999
75.5,8.5,1.18621
76.5,8.5,1.7066
77.5,8.5,1.73127
78.5,8.5,1.6803599999999999
79.5,8.5,1.92083
80.5,8.5,1.7798599999999998
81.5,8.5,1.9756200000000002
82.5,8.5,1.8918099999999998
83.5,8.5,1.7872299999999999
84.5,8.5,1.91878
85.5,8.5,1.83817
86.5,8.5,1.9551900000000002
87.5,8.5,2.02693
88.5,8.5,2.1324
89.5,8.5,2.2587599999999997
90.5,8.5,2.0182900000000004
91.5,8.5,1.82807
92.5,8.5,1.79348
93.5,8.5,1.9664
94.5,8.5,1.6767400000000001
95.5,8.5,1.4358799999999998
96.5,8.5,1.3853
97.5,8.5,1.6023
98.5,8.5,1.9042599999999998
99.5,8.5,1.78582
0.5,9.5,1.6872200000000002
1.5,9.5,1.54552
2.5,9.5,1.38181
3.5,9.5,1.3947200000000002
4.5,9.5,1.53281
5.5,9.5,1.20836
6.5,9.5,0.92048
7.5,9.5,0.95425
8.5,9.5,1.114
9.5,9.5,0.88708
10.5,9.5,0.7332
11.5,9.5,0.79948
12.5,9.5,0.65074
13.5,9.5,0.44832
14.5,9.5,0.45979
15.5,9.5,0.28035
16.5,9.5,0.48955
17.5,9.5,0.38721
18.5,9.5,0.45241000000000003
19.5,9.5,0.36032
20.5,9.5,0.15348
21.5,9.5,-0.10717
22.5,9.5,0.24613000000000002
23.5,9.5,-0.06006
24.5,9.5,0.008759999999999999
25.5,9.5,0.35261
26.5,9.5,0.49993999999999994
27.5,9.5,0.45353999999999994
28.5,9.5,0.31487
29.5,9.5,0.35291999999999996
30.5,9.5,0.33136
31.5,9.5,0.41568
32.5,9.5,0.29107
33.5,9.5,0.11477000000000001
34.5,9.5,0.21101999999999999
35.5,9.5,0.38366999999999996
36.5,9.5,0.6460199999999999
37.5,9.5,0.32083
38.5,9.5,-0.14668
39.5,9.5,-0.0031
40.5,9.5,0.19196
41.5,9.5,0.15132
42.5,9.5,0.06479
43.5,9.5,0.14454
44.5,9.5,0.17168
45.5,9.5,0.27971999999999997
46.5,9.5,0.16942000000000002
47.5,9.5,0.5596800000000001
48.5,9.5,0.52888
49.5,9.5,0.4298
50.5,9.5,0.19188
51.5,9.5,-0.20362
52.5,9.5,-0.3977
53.5,9.5,-0.3596
54.5,9.5,-0.22451
55.5,9.5,-0.1699
56.5,9.5,-0.3774
57.5,9.5,-0.7963399999999999
58.5,9.5,-0.55006
59.5,9.5,-0.43113999999999997
60.5,9.5,-0.31642
61.5,9.5,-0.6053
62.5,9.5,-0.49695
63.5,9.5,-0.31406999999999996
64.5,9.5,-0.04958
65.5,9.5,0.19515
66.5,9.5,0.31104
67.5,9.5,0.2415
68.5,9.5,0.36641
69.5,9.5,0.18153
70.5,9.5,0.25433
71.5,9.5,0.40157
72.5,9.5,0.47408999999999996
73.5,9.5,0.87198
74.5,9.5,0.89381
75.5,9.5,1.26589
76.5,9.5,1.10406
77.5,9.5,1.0323200000000001
78.5,9.5,0.91737
79.5,9.5,1.22492
80.5,9.5,1.62589
81.5,9.5,1.5692700000000002
82.5,9.5,1.4223299999999999
83.5,9.5,1.45636
84.5,9.5,1.76052
85.5,9.5,1.54414
86.5,9.5,1.6777099999999998
87.5,9.5,1.57247
